Season,Player,MP,PTS,TRB,AST,STL,BLK,FG,P3,FT,Assists,Steals
2019,Giannis Antetokounmpo,30.4,29.5,13.6,5.6,1.0,1.0,8.1,6.7,6.9,4.4,3.1
2018,Giannis Antetokounmpo,32.8,27.7,12.5,5.9,1.3,1.5,8.5,5.6,7.9,4.6,4.1
2017,James Harden,35.4,30.4,5.4,8.8,1.8,0.7,6.6,8.1,9.3,6.9,5.6
2016,Russell Westbrook,34.6,31.6,10.7,10.4,1.6,0.4,6.2,7.6,9.2,8.1,5.0
2015,Stephen Curry,34.2,30.1,5.4,6.7,2.1,0.2,7.4,10.0,9.9,5.2,6.6
2014,Stephen Curry,32.7,23.8,4.3,7.7,2.0,0.2,7.1,9.8,9.9,6.0,6.3
2013,Kevin Durant,38.5,32.0,7.4,5.5,1.3,0.7,7.4,8.6,9.5,4.3,4.1
2012,LeBron James,37.9,26.8,8.0,7.3,1.7,0.9,8.3,8.9,8.2,5.7,5.3
2011,LeBron James,37.5,27.1,7.9,6.2,1.9,0.8,7.8,8.0,8.4,4.8,5.9
2010,Derrick Rose,37.4,25.0,4.1,7.7,1.0,0.6,6.5,7.3,9.3,6.0,3.1
2009,LeBron James,39.0,29.7,7.3,8.6,1.6,1.0,7.4,7.3,8.3,6.7,5.0
2008,LeBron James,37.7,28.4,7.6,7.2,1.7,1.1,7.2,7.6,8.5,5.6,5.3
2007,Kobe Bryant,38.9,28.3,6.3,5.4,1.8,0.5,6.7,8.0,9.1,4.2,5.6
2006,Dirk Nowitzki,36.2,24.6,8.9,3.4,0.7,0.8,7.3,9.2,9.8,2.7,2.2
2005,Steve Nash,35.4,18.8,4.2,10.5,0.8,0.2,7.5,9.7,10.0,8.2,2.5
2004,Steve Nash,34.3,15.5,3.3,11.5,1.0,0.1,7.3,9.5,9.6,9.0,3.1
2003,Kevin Garnett,39.4,24.2,13.9,5.0,1.5,2.2,7.3,5.6,8.6,3.9,4.7
2002,Tim Duncan,39.3,23.3,12.9,3.9,0.7,2.9,7.5,6.0,7.7,3.0,2.2
2001,Tim Duncan,40.6,25.5,12.7,3.7,0.7,2.5,7.4,2.2,8.7,2.9,2.2
2000,Allen Iverson,42.0,31.1,3.8,4.6,2.5,0.3,6.1,7.0,8.8,3.6,7.8
1999,Shaquille O'Neal,40.0,29.7,13.6,3.8,0.5,3.0,8.4,0.0,5.7,3.0,1.6
1998,Karl Malone,37.4,23.8,9.4,4.1,1.3,0.6,7.2,0.0,8.6,3.2,4.1
1997,Michael Jordan,38.8,28.7,5.8,3.5,1.7,0.5,6.8,5.2,8.5,2.7,5.3
1996,Karl Malone,36.6,27.4,9.9,4.5,1.4,0.6,8.1,0.0,8.2,3.5,4.4
1995,Michael Jordan,37.7,30.4,6.6,4.3,2.2,0.5,7.2,9.4,9.1,3.4,6.9
1994,David Robinson,38.0,27.6,10.8,2.9,1.7,3.2,7.8,6.6,8.4,2.3,5.3
1993,Hakeem Olajuwon,41.0,27.3,11.9,3.6,1.6,3.7,7.7,9.3,7.8,2.8,5.0
1992,Charles Barkley,37.6,25.6,12.2,5.1,1.6,1.0,7.6,6.7,8.3,4.0,5.0
1991,Michael Jordan,38.8,30.1,6.4,6.1,2.3,0.9,7.6,5.9,9.0,4.8,7.2
1990,Michael Jordan,37.0,31.5,6.0,5.5,2.7,1.0,7.9,6.9,9.2,4.3,8.4
1989,Magic Johnson,37.2,22.3,6.6,11.5,1.7,0.4,7.0,8.5,9.7,9.0,5.3
1988,Magic Johnson,37.5,22.5,7.9,12.8,1.8,0.3,7.5,6.9,9.9,10.0,5.6
1987,Michael Jordan,40.4,35.0,5.5,5.9,3.2,1.6,7.8,2.9,9.1,4.6,10.0
1986,Magic Johnson,36.3,23.9,6.3,12.2,1.7,0.5,7.6,4.5,9.2,9.5,5.3
1985,Larry Bird,38.0,25.8,9.8,6.8,2.0,0.6,7.3,9.3,9.7,5.3,6.3
1984,Larry Bird,39.5,28.7,10.5,6.6,1.6,1.2,7.6,9.4,9.6,5.2,5.0
1983,Larry Bird,38.3,24.2,10.1,6.6,1.8,0.9,7.2,5.4,9.6,5.2,5.6
1982,Moses Malone,37.5,24.5,15.3,1.3,1.1,2.0,7.3,0.0,8.3,1.0,3.4
1981,Moses Malone,42.0,31.1,14.7,1.8,0.9,1.5,7.6,0.0,8.3,1.4,2.8
1980,Julius Erving,35.0,24.6,8.0,4.4,2.1,1.8,7.6,4.9,8.5,3.4,6.6
1979,Kareem Abdul-Jabbar,38.3,24.8,10.8,4.5,1.0,3.4,8.8,0.0,8.3,3.5,3.1
1978,Moses Malone,41.3,24.8,17.6,1.8,1.0,1.5,7.9,0.0,8.0,1.4,3.1
1977,Bill Walton,33.3,18.9,13.2,5.0,1.0,2.5,7.6,0.0,7.8,3.9,3.1
1976,Kareem Abdul-Jabbar,36.8,26.2,13.3,3.9,1.2,3.2,8.5,0.0,7.6,3.0,3.8
1975,Kareem Abdul-Jabbar,41.2,27.7,16.9,5.0,1.5,4.1,7.7,0.0,7.6,3.9,4.7
1974,Bob McAdoo,43.2,34.5,14.1,2.2,1.1,2.1,7.5,0.0,8.7,1.7,3.4
1973,Kareem Abdul-Jabbar,43.8,27.0,14.5,4.8,1.4,3.5,7.9,0.0,7.6,3.8,4.4